Time,Lambda,Alpha,Stress_Model(MPa),Stress_NH(MPa),Phase
26.8,1.132,1,0.16021,0.000300713,3_ActiveReload
26.9,1.134,1,0.162429,0.000305314,3_ActiveReload
27,1.136,1,0.164667,0.000309917,3_ActiveReload
27.1,1.138,1,0.166923,0.000314522,3_ActiveReload
27.2,1.14,1,0.169196,0.000319129,3_ActiveReload
27.3,1.142,1,0.171486,0.000323737,3_ActiveReload
27.4,1.144,1,0.173791,0.000328348,3_ActiveReload
27.5,1.146,1,0.176112,0.000332961,3_ActiveReload
27.6,1.148,1,0.178448,0.000337575,3_ActiveReload
27.7,1.15,1,0.180797,0.000342192,3_ActiveReload
27.8,1.152,1,0.18316,0.000346811,3_ActiveReload
27.9,1.154,1,0.185534,0.000351432,3_ActiveReload
28,1.156,1,0.18792,0.000356055,3_ActiveReload
28.1,1.158,1,0.190316,0.00036068,3_ActiveReload
28.2,1.16,1,0.192722,0.000365308,3_ActiveReload
28.3,1.162,1,0.195135,0.000369937,3_ActiveReload
28.4,1.164,1,0.197556,0.000374569,3_ActiveReload
28.5,1.166,1,0.199983,0.000379203,3_ActiveReload
28.6,1.168,1,0.202416,0.000383839,3_ActiveReload
28.7,1.17,1,0.204852,0.000388477,3_ActiveReload
28.8,1.172,1,0.20729,0.000393118,3_ActiveReload
28.9,1.174,1,0.20973,0.000397761,3_ActiveReload
29,1.176,1,0.212171,0.000402406,3_ActiveReload
29.1,1.178,1,0.21461,0.000407054,3_ActiveReload
29.2,1.18,1,0.217046,0.000411704,3_ActiveReload
29.3,1.182,1,0.219479,0.000416356,3_ActiveReload
29.4,1.184,1,0.221907,0.000421011,3_ActiveReload
29.5,1.186,1,0.224328,0.000425668,3_ActiveReload
29.6,1.188,1,0.226741,0.000430328,3_ActiveReload
29.7,1.19,1,0.229145,0.00043499,3_ActiveReload
29.8,1.192,1,0.231539,0.000439654,3_ActiveReload
29.9,1.194,1,0.23392,0.000444321,3_ActiveReload
30,1.196,1,0.236287,0.00044899,3_ActiveReload
30.1,1.198,1,0.238639,0.000453662,3_ActiveReload
30.2,1.2,1,0.240975,0.000458337,3_ActiveReload
30.3,1.2,1,0.240975,0.000458337,4_ActiveUnload
30.4,1.198,1,0.238639,0.000453662,4_ActiveUnload
30.5,1.196,1,0.236287,0.00044899,4_ActiveUnload
30.6,1.194,1,0.23392,0.000444321,4_ActiveUnload
30.7,1.192,1,0.231539,0.000439654,4_ActiveUnload
30.8,1.19,1,0.229145,0.00043499,4_ActiveUnload
30.9,1.188,1,0.226741,0.000430328,4_ActiveUnload
31,1.186,1,0.224328,0.000425668,4_ActiveUnload
31.1,1.184,1,0.221907,0.000421011,4_ActiveUnload
31.2,1.182,1,0.219479,0.000416356,4_ActiveUnload
31.3,1.18,1,0.217046,0.000411704,4_ActiveUnload
31.4,1.178,1,0.21461,0.000407054,4_ActiveUnload
31.5,1.176,1,0.212171,0.000402406,4_ActiveUnload
31.6,1.174,1,0.20973,0.000397761,4_ActiveUnload
31.7,1.172,1,0.20729,0.000393118,4_ActiveUnload
31.8,1.17,1,0.204852,0.000388477,4_ActiveUnload
31.9,1.168,1,0.202416,0.000383839,4_ActiveUnload
32,1.166,1,0.199983,0.000379203,4_ActiveUnload
32.1,1.164,1,0.197556,0.000374569,4_ActiveUnload
32.2,1.162,1,0.195135,0.000369937,4_ActiveUnload
32.3,1.16,1,0.192722,0.000365308,4_ActiveUnload
32.4,1.158,1,0.190316,0.00036068,4_ActiveUnload
32.5,1.156,1,0.18792,0.000356055,4_ActiveUnload
32.6,1.154,1,0.185534,0.000351432,4_ActiveUnload
32.7,1.152,1,0.18316,0.000346811,4_ActiveUnload
32.8,1.15,1,0.180797,0.000342192,4_ActiveUnload
32.9,1.148,1,0.178448,0.000337575,4_ActiveUnload
33,1.146,1,0.176112,0.000332961,4_ActiveUnload
33.1,1.144,1,0.173791,0.000328348,4_ActiveUnload
33.2,1.142,1,0.171486,0.000323737,4_ActiveUnload
33.3,1.14,1,0.169196,0.000319129,4_ActiveUnload
33.4,1.138,1,0.166923,0.000314522,4_ActiveUnload
33.5,1.136,1,0.164667,0.000309917,4_ActiveUnload
33.6,1.134,1,0.162429,0.000305314,4_ActiveUnload
33.7,1.132,1,0.16021,0.000300713,4_ActiveUnload
33.8,1.13,1,0.158009,0.000296114,4_ActiveUnload
33.9,1.128,1,0.155827,0.000291517,4_ActiveUnload
34,1.126,1,0.153665,0.000286921,4_ActiveUnload
34.1,1.124,1,0.151523,0.000282328,4_ActiveUnload
34.2,1.122,1,0.149401,0.000277736,4_ActiveUnload
34.3,1.12,1,0.1473,0.000273146,4_ActiveUnload
34.4,1.118,1,0.145219,0.000268557,4_ActiveUnload
